Menit ke-;Tegangan (V)
0;15.97
1;15.9
2;15.88
3;15.87
4;15.87
5;15.86
6;15.85
7;15.84
8;15.83
9;15.82
10;15.81
11;15.81
12;15.79
13;15.78
14;15.76
15;15.76
16;15.75
17;15.74
18;15.73
19;15.71
20;15.7
21;15.69
22;15.67
23;15.65
24;15.63
25;15.62
26;15.61
27;15.59
28;15.58
29;15.57
30;15.55
31;15.54
32;15.53
33;15.51
34;15.5
35;15.49
36;15.48
37;15.47
38;15.46
39;15.45
40;15.43
41;15.42
42;15.42
43;15.4
44;15.39
45;15.39
46;15.37
47;15.37
48;15.36
49;15.35
50;15.34
51;15.34
52;15.32
53;15.32
54;15.31
55;15.31
56;15.31
57;15.29
58;15.28
59;15.28
60;15.27
